Date,Open,High,Low,Close,Volume
2/21/2024,176.69,178.71,176.28,178.27,543654.00
2/20/2024,176.32,178.16,175.11,176.34,738619.00
2/16/2024,175.91,177.87,175.59,177.12,627630.00
2/15/2024,173.54,177.98,173.54,177.8,673489.00
2/14/2024,173.03,174.32,172.16,173.21,830422.00
2/13/2024,171.6,172.28,169.37,172.11,825455.00
2/12/2024,174.88,175.67,173.43,174.36,625706.00
2/9/2024,174.16,174.63,173.18,174.63,799582.00
2/8/2024,173.25,174.78,172.87,174.53,818525.00
2/7/2024,172.9,173.81,170.95,173.42,995481.00
2/6/2024,170,172.97,170,172.75,1291410.00
2/5/2024,172.82,173.41,169.87,169.99,874887.00
2/2/2024,176.01,177.19,173.31,175.06,1446399.00
2/1/2024,172.31,178.68,172,178.15,1716180.00
1/31/2024,180.08,182.73,177.84,179.01,1542473.00
1/30/2024,177.52,179.59,177.03,178.44,709419.00
1/29/2024,177.59,179.08,176.72,178.28,667435.00
1/26/2024,177.03,177.65,175.37,177.5,789952.00
1/25/2024,177.78,178.12,175.42,176.12,1041741.00
1/24/2024,181.03,181.03,175.87,176.03,908929.00
1/23/2024,181.51,182.03,178.09,179.59,639449.00
1/22/2024,180.96,182.24,179.13,181.22,701690.00
1/19/2024,177.5,180.92,177.01,180.43,1046564.00
1/18/2024,177.78,178.96,176.14,177.5,986071.00
1/17/2024,177.45,180.56,175.1,178.38,1353840.00
1/16/2024,181.62,182.26,179.33,180.15,862734.00
1/12/2024,184.7,185.65,182.29,182.54,1002650.00
1/11/2024,182.51,184.14,181.79,182.75,1018770.00
1/10/2024,184.09,184.5,182.96,183.71,800021.00
1/9/2024,182.72,184.24,181.65,183.11,787561.00
1/8/2024,182.08,185.14,182.08,184.54,814818.00
1/5/2024,181.64,184.33,181.54,182.67,678116.00
1/4/2024,182.97,184.57,182.26,183.59,661553.00
1/3/2024,186.88,186.88,182.83,183.29,1105224.00
1/2/2024,185.77,188.27,185.76,188.17,758582.00
12/29/2023,188.78,189.58,187.11,187.22,800716.00
12/28/2023,187.29,189.67,187.06,189.6,538947.00
12/27/2023,188.48,189.62,187.58,189.49,637962.00
12/26/2023,187.1,188.81,187.1,188.23,700356.00
12/22/2023,187.86,189.46,187,187.29,627118.00
12/21/2023,187.87,188.25,185.55,186.65,841425.00
12/20/2023,189.6,190.33,186.08,186.2,902594.00
12/19/2023,190.45,191.5,187.64,189.6,834750.00
12/18/2023,188,190.61,186.86,189.84,844404.00
12/15/2023,190.58,190.68,185.09,187.89,1646975.00
12/14/2023,187.16,193.33,187.16,191.44,1794511.00
12/13/2023,174.7,185.31,174.7,183.98,954614.00
12/12/2023,175.7,176.74,174.23,174.83,842118.00
12/11/2023,174.94,175.64,173.66,175.41,691802.00
12/8/2023,175,175.81,173.95,175.75,588550.00
12/7/2023,175.23,176.23,173.79,175.38,679019.00
12/6/2023,176.25,177.07,174.75,174.99,933798.00
12/5/2023,176.78,177.39,174.36,175.76,1195948.00
12/4/2023,176.67,179.07,176.67,177.74,1011020.00
12/1/2023,172.9,177.98,172.3,177.94,1174601.00
11/30/2023,170.88,173.15,170.55,172.94,1353370.00
11/29/2023,174.83,175.13,170.53,170.83,899702.00
11/28/2023,171.2,173.59,170.29,172.17,890424.00
11/27/2023,172.86,173.46,171.59,171.88,881133.00
11/24/2023,172.3,173.37,171.53,173.37,414797.00
